trial,event,t_us,target_pwm,rpm_left,duration_us
1,TRIAL_START,1031332,191,0.00,0
1,RPM_STABLE,1532151,191,180.00,0
1,LINE_DETECTED,1775444,191,180.00,15
1,RPM_ZERO,2098629,191,0.00,323185
1,RECOVERY_COMPLETE,2238821,191,120.00,463377
2,TRIAL_START,1031331,191,0.00,0
2,RPM_STABLE,1532175,191,180.00,0
2,LINE_DETECTED,1720507,191,180.00,15
2,RPM_ZERO,1997900,191,0.00,277393
2,RECOVERY_COMPLETE,2138078,191,120.00,417571
3,TRIAL_START,1031331,191,0.00,0
3,RPM_STABLE,1532136,191,210.00,0
3,LINE_DETECTED,1720452,191,210.00,15
3,RPM_ZERO,1997876,191,0.00,277424
3,RECOVERY_COMPLETE,2138070,191,90.00,417618
4,TRIAL_START,1031336,191,0.00,0
4,RPM_STABLE,1532201,191,210.00,0
4,LINE_DETECTED,1729669,191,210.00,14
4,RPM_ZERO,1997981,191,0.00,268312
4,RECOVERY_COMPLETE,2138199,191,120.00,408530
5,TRIAL_START,1031340,191,0.00,0
5,RPM_STABLE,1532175,191,180.00,0
5,LINE_DETECTED,1731926,191,240.00,15
5,RPM_ZERO,1997917,191,0.00,265991
5,RECOVERY_COMPLETE,2138102,191,90.00,406176
6,TRIAL_START,1031331,191,0.00,0
6,RPM_STABLE,1532102,191,180.00,0
6,LINE_DETECTED,1729546,191,210.00,15
6,RPM_ZERO,2048327,191,0.00,318781
6,RECOVERY_COMPLETE,2188524,191,120.00,458978
7,TRIAL_START,1031333,191,0.00,0
7,RPM_STABLE,1532198,191,180.00,0
7,LINE_DETECTED,1729647,191,210.00,15
7,RPM_ZERO,2048349,191,0.00,318702
7,RECOVERY_COMPLETE,2188533,191,120.00,458886
8,TRIAL_START,1031338,191,0.00,0
8,RPM_STABLE,1532132,191,210.00,0
8,LINE_DETECTED,1729570,191,240.00,15
8,RPM_ZERO,1997843,191,0.00,268273
8,RECOVERY_COMPLETE,2138061,191,120.00,408491
9,TRIAL_START,1031332,191,0.00,0
9,RPM_STABLE,1532074,191,210.00,0
9,LINE_DETECTED,1718086,191,210.00,15
9,RPM_ZERO,1997753,191,0.00,279667
9,RECOVERY_COMPLETE,2137919,191,90.00,419833
10,TRIAL_START,1031332,191,0.00,0
10,RPM_STABLE,1532130,191,180.00,0
10,LINE_DETECTED,1727326,191,210.00,14
10,RPM_ZERO,2048333,191,0.00,321007
10,RECOVERY_COMPLETE,2188549,191,120.00,461223
11,TRIAL_START,1031336,191,0.00,0
11,RPM_STABLE,1532206,191,210.00,0
11,LINE_DETECTED,1729662,191,210.00,15
11,RPM_ZERO,1997904,191,0.00,268242
11,RECOVERY_COMPLETE,2138086,191,120.00,408424
12,TRIAL_START,1031332,191,0.00,0
12,RPM_STABLE,1532151,191,210.00,0
12,LINE_DETECTED,1738686,191,210.00,14
12,RPM_ZERO,1997837,191,0.00,259151
12,RECOVERY_COMPLETE,2138038,191,120.00,399352
13,TRIAL_START,1031329,191,0.00,0
13,RPM_STABLE,1532220,191,180.00,0
13,LINE_DETECTED,1750496,191,210.00,15
13,RPM_ZERO,2048462,191,0.00,297966
13,RECOVERY_COMPLETE,2188648,191,120.00,438152
14,TRIAL_START,1031333,191,0.00,0
14,RPM_STABLE,1532218,191,210.00,0
14,LINE_DETECTED,1750425,191,210.00,14
14,RPM_ZERO,1997924,191,0.00,247499
14,RECOVERY_COMPLETE,2138154,191,90.00,387729
15,TRIAL_START,1031334,191,0.00,0
15,RPM_STABLE,1532105,191,210.00,0
15,LINE_DETECTED,1740933,191,210.00,17
15,RPM_ZERO,1997867,191,0.00,256934
15,RECOVERY_COMPLETE,2138047,191,90.00,397114
