trial,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
1,1039262,191,0.00,0,0,2343
1,1089776,191,60.00,2,191,2265
1,1140199,191,90.00,2,191,2265
1,1190624,191,150.00,2,191,2264
1,1241015,191,150.00,2,191,2262
1,1291430,191,150.00,2,191,2266
1,1341854,191,150.00,2,191,2265
1,1392257,191,180.00,2,191,2263
1,1442677,191,180.00,2,191,2264
1,1493098,191,180.00,2,191,2266
1,1543841,191,180.00,2,191,2264
1,1594261,191,180.00,2,191,2263
1,1644671,191,210.00,2,191,2273
1,1695095,191,210.00,2,191,2263
1,1745507,191,180.00,2,191,2267
1,1796206,191,210.00,1,255,2263
1,1846629,191,90.00,1,255,2260
1,1897042,191,90.00,1,255,2265
1,1947457,191,60.00,1,255,2266
1,1997830,191,30.00,1,255,2265
1,2048222,191,30.00,1,255,2262
1,2098629,191,0.00,1,255,2264
1,2149378,191,30.00,3,180,2263
1,2199799,191,120.00,3,180,2262
1,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
2,1039260,191,0.00,0,0,2342
2,1089776,191,30.00,2,191,2267
2,1140196,191,90.00,2,191,2266
2,1190605,191,120.00,2,191,2260
2,1241033,191,150.00,2,191,2266
2,1291457,191,150.00,2,191,2265
2,1341881,191,210.00,2,191,2265
2,1392308,191,180.00,2,191,2264
2,1442725,191,210.00,2,191,2272
2,1493148,191,180.00,2,191,2262
2,1543862,191,240.00,2,191,2267
2,1594276,191,180.00,2,191,2263
2,1644701,191,240.00,2,191,2266
2,1695106,191,180.00,2,191,2263
2,1745854,191,240.00,1,255,2263
2,1796276,191,90.00,1,255,2262
2,1846700,191,60.00,1,255,2265
2,1897093,191,60.00,1,255,2261
2,1947497,191,30.00,1,255,2264
2,1997900,191,0.00,1,255,2265
2,2048628,191,30.00,3,180,2261
2,2099034,191,120.00,3,180,2263
2,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
3,1039260,191,0.00,0,0,2342
3,1089765,191,30.00,2,191,2263
3,1140195,191,90.00,2,191,2263
3,1190633,191,120.00,2,191,2266
3,1241043,191,150.00,2,191,2265
3,1291454,191,180.00,2,191,2264
3,1341879,191,180.00,2,191,2265
3,1392287,191,180.00,2,191,2264
3,1442709,191,210.00,2,191,2266
3,1493122,191,210.00,2,191,2271
3,1543822,191,210.00,2,191,2264
3,1594229,191,210.00,2,191,2267
3,1644650,191,210.00,2,191,2265
3,1695053,191,210.00,2,191,2264
3,1745793,191,210.00,1,255,2263
3,1796204,191,90.00,1,255,2267
3,1846626,191,60.00,1,255,2262
3,1897032,191,60.00,1,255,2260
3,1947453,191,30.00,1,255,2267
3,1997876,191,0.00,1,255,2273
3,2048626,191,60.00,3,180,2265
3,2099041,191,90.00,3,180,2263
3,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
4,1039265,191,0.00,0,0,2342
4,1089772,191,30.00,2,191,2263
4,1140186,191,90.00,2,191,2263
4,1190606,191,120.00,2,191,2264
4,1241029,191,120.00,2,191,2267
4,1291469,191,180.00,2,191,2267
4,1341885,191,180.00,2,191,2263
4,1392317,191,180.00,2,191,2266
4,1442735,191,210.00,2,191,2265
4,1493159,191,210.00,2,191,2265
4,1543891,191,180.00,2,191,2266
4,1594333,191,210.00,2,191,2272
4,1644762,191,210.00,2,191,2266
4,1695170,191,210.00,2,191,2267
4,1745906,191,210.00,1,255,2266
4,1796330,191,90.00,1,255,2269
4,1846761,191,90.00,1,255,2263
4,1897163,191,30.00,1,255,2264
4,1947565,191,30.00,1,255,2265
4,1997981,191,0.00,1,255,2265
4,2048739,191,30.00,3,180,2266
4,2099162,191,120.00,3,180,2263
4,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
5,1039269,191,0.00,0,0,2342
5,1089774,191,60.00,2,191,2265
5,1140212,191,90.00,2,191,2266
5,1190655,191,120.00,2,191,2267
5,1241060,191,120.00,2,191,2260
5,1291497,191,150.00,2,191,2264
5,1341911,191,210.00,2,191,2261
5,1392337,191,180.00,2,191,2268
5,1442756,191,210.00,2,191,2260
5,1493157,191,180.00,2,191,2263
5,1543866,191,210.00,2,191,2266
5,1594282,191,210.00,2,191,2261
5,1644711,191,180.00,2,191,2264
5,1695138,191,240.00,2,191,2266
5,1745873,191,180.00,1,255,2263
5,1796262,191,150.00,1,255,2261
5,1846678,191,60.00,1,255,2270
5,1897091,191,30.00,1,255,2264
5,1947506,191,30.00,1,255,2265
5,1997917,191,0.00,1,255,2261
5,2048660,191,60.00,3,180,2263
5,2099063,191,90.00,3,180,2263
5,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
6,1039261,191,0.00,0,0,2343
6,1089779,191,60.00,2,191,2265
6,1140181,191,90.00,2,191,2264
6,1190604,191,120.00,2,191,2264
6,1241004,191,120.00,2,191,2263
6,1291429,191,180.00,2,191,2265
6,1341834,191,180.00,2,191,2266
6,1392247,191,180.00,2,191,2265
6,1442655,191,180.00,2,191,2264
6,1493073,191,180.00,2,191,2260
6,1543794,191,210.00,2,191,2264
6,1594221,191,210.00,2,191,2265
6,1644633,191,180.00,2,191,2266
6,1695049,191,210.00,2,191,2266
6,1745779,191,210.00,1,255,2267
6,1796192,191,120.00,1,255,2263
6,1846614,191,60.00,1,255,2262
6,1897047,191,60.00,1,255,2267
6,1947493,191,30.00,1,255,2264
6,1997906,191,30.00,1,255,2266
6,2048327,191,0.00,1,255,2268
6,2099059,191,60.00,3,180,2265
6,2149482,191,120.00,3,180,2264
6,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
7,1039263,191,0.00,0,0,2343
7,1089771,191,60.00,2,191,2267
7,1140181,191,90.00,2,191,2260
7,1190608,191,120.00,2,191,2266
7,1241036,191,150.00,2,191,2259
7,1291479,191,150.00,2,191,2263
7,1341909,191,180.00,2,191,2264
7,1392330,191,180.00,2,191,2266
7,1442764,191,210.00,2,191,2264
7,1493163,191,180.00,2,191,2260
7,1543881,191,210.00,2,191,2261
7,1594301,191,180.00,2,191,2264
7,1644713,191,210.00,2,191,2266
7,1695159,191,210.00,2,191,2261
7,1745886,191,210.00,1,255,2266
7,1796305,191,120.00,1,255,2265
7,1846712,191,60.00,1,255,2265
7,1897124,191,60.00,1,255,2274
7,1947537,191,60.00,1,255,2265
7,1997937,191,30.00,1,255,2265
7,2048349,191,0.00,1,255,2265
7,2099097,191,30.00,3,180,2263
7,2149500,191,120.00,3,180,2265
7,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
8,1039267,191,0.00,0,0,2342
8,1089773,191,30.00,2,191,2265
8,1140188,191,90.00,2,191,2260
8,1190615,191,120.00,2,191,2266
8,1241043,191,150.00,2,191,2265
8,1291465,191,150.00,2,191,2265
8,1341871,191,180.00,2,191,2265
8,1392260,191,210.00,2,191,2262
8,1442676,191,180.00,2,191,2267
8,1493098,191,210.00,2,191,2261
8,1543816,191,180.00,2,191,2264
8,1594238,191,240.00,2,191,2266
8,1644654,191,180.00,2,191,2263
8,1695063,191,240.00,2,191,2266
8,1745790,191,180.00,1,255,2267
8,1796191,191,120.00,1,255,2263
8,1846608,191,60.00,1,255,2266
8,1897033,191,60.00,1,255,2267
8,1947438,191,60.00,1,255,2264
8,1997843,191,0.00,1,255,2264
8,2048600,191,30.00,3,180,2264
8,2099020,191,120.00,3,180,2267
8,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
9,1039262,191,0.00,0,0,2343
9,1089758,191,0.00,2,191,2265
9,1140157,191,90.00,2,191,2262
9,1190575,191,120.00,2,191,2273
9,1240983,191,150.00,2,191,2265
9,1291383,191,150.00,2,191,2261
9,1341822,191,210.00,2,191,2269
9,1392218,191,180.00,2,191,2262
9,1442646,191,210.00,2,191,2265
9,1493046,191,210.00,2,191,2265
9,1543769,191,180.00,2,191,2263
9,1594177,191,210.00,2,191,2260
9,1644589,191,210.00,2,191,2264
9,1694983,191,210.00,2,191,2261
9,1745705,191,210.00,1,255,2265
9,1796097,191,90.00,1,255,2263
9,1846498,191,90.00,1,255,2264
9,1896915,191,30.00,1,255,2266
9,1947331,191,30.00,1,255,2271
9,1997753,191,0.00,1,255,2263
9,2048487,191,30.00,3,180,2263
9,2098882,191,90.00,3,180,2267
9,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
10,1039262,191,0.00,0,0,2343
10,1089769,191,60.00,2,191,2266
10,1140187,191,60.00,2,191,2265
10,1190596,191,120.00,2,191,2265
10,1241012,191,120.00,2,191,2264
10,1291430,191,150.00,2,191,2264
10,1341854,191,180.00,2,191,2266
10,1392272,191,180.00,2,191,2270
10,1442688,191,210.00,2,191,2264
10,1493095,191,180.00,2,191,2263
10,1543821,191,210.00,2,191,2270
10,1594228,191,210.00,2,191,2262
10,1644655,191,210.00,2,191,2264
10,1695084,191,210.00,2,191,2266
10,1745827,191,210.00,1,255,2263
10,1796233,191,120.00,1,255,2266
10,1846654,191,60.00,1,255,2263
10,1897074,191,60.00,1,255,2264
10,1947501,191,30.00,1,255,2267
10,1997920,191,30.00,1,255,2263
10,2048333,191,0.00,1,255,2262
10,2099075,191,30.00,3,180,2265
10,2149504,191,120.00,3,180,2264
10,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
11,1039265,191,0.00,0,0,2342
11,1089770,191,30.00,2,191,2263
11,1140198,191,90.00,2,191,2265
11,1190612,191,120.00,2,191,2266
11,1241043,191,120.00,2,191,2264
11,1291459,191,150.00,2,191,2260
11,1341879,191,180.00,2,191,2271
11,1392323,191,180.00,2,191,2264
11,1442762,191,180.00,2,191,2267
11,1493162,191,210.00,2,191,2262
11,1543890,191,210.00,2,191,2265
11,1594318,191,180.00,2,191,2265
11,1644737,191,210.00,2,191,2263
11,1695163,191,210.00,2,191,2263
11,1745898,191,210.00,1,255,2267
11,1796307,191,120.00,1,255,2266
11,1846707,191,60.00,1,255,2265
11,1897109,191,60.00,1,255,2264
11,1947497,191,30.00,1,255,2265
11,1997904,191,0.00,1,255,2264
11,2048634,191,60.00,3,180,2261
11,2099051,191,120.00,3,180,2266
11,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
12,1039261,191,0.00,0,0,2342
12,1089763,191,60.00,2,191,2265
12,1140178,191,90.00,2,191,2272
12,1190603,191,120.00,2,191,2264
12,1241027,191,150.00,2,191,2273
12,1291453,191,120.00,2,191,2261
12,1341857,191,180.00,2,191,2265
12,1392272,191,180.00,2,191,2271
12,1442684,191,180.00,2,191,2263
12,1493098,191,210.00,2,191,2265
12,1543833,191,210.00,2,191,2264
12,1594258,191,180.00,2,191,2263
12,1644669,191,210.00,2,191,2273
12,1695085,191,210.00,2,191,2266
12,1745808,191,210.00,1,255,2262
12,1796199,191,150.00,1,255,2265
12,1846611,191,60.00,1,255,2263
12,1897030,191,60.00,1,255,2262
12,1947434,191,60.00,1,255,2263
12,1997837,191,0.00,1,255,2263
12,2048594,191,30.00,3,180,2264
12,2099001,191,120.00,3,180,2265
12,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
13,1039259,191,0.00,0,0,2343
13,1089766,191,30.00,2,191,2264
13,1140173,191,90.00,2,191,2263
13,1190603,191,120.00,2,191,2262
13,1241039,191,150.00,2,191,2266
13,1291459,191,150.00,2,191,2264
13,1341881,191,180.00,2,191,2264
13,1392313,191,180.00,2,191,2265
13,1442761,191,180.00,2,191,2265
13,1493173,191,180.00,2,191,2263
13,1543892,191,210.00,2,191,2266
13,1594324,191,180.00,2,191,2269
13,1644763,191,210.00,2,191,2267
13,1695175,191,180.00,2,191,2262
13,1745603,191,210.00,2,191,2264
13,1796324,191,180.00,1,255,2262
13,1846759,191,90.00,1,255,2266
13,1897196,191,60.00,1,255,2267
13,1947615,191,30.00,1,255,2267
13,1998039,191,30.00,1,255,2266
13,2048462,191,0.00,1,255,2265
13,2099195,191,30.00,3,180,2260
13,2149604,191,120.00,3,180,2266
13,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
14,1039263,191,0.00,0,0,2343
14,1089770,191,30.00,2,191,2264
14,1140194,191,90.00,2,191,2262
14,1190630,191,120.00,2,191,2266
14,1241031,191,150.00,2,191,2261
14,1291439,191,150.00,2,191,2266
14,1341876,191,180.00,2,191,2271
14,1392308,191,180.00,2,191,2265
14,1442731,191,180.00,2,191,2264
14,1493159,191,210.00,2,191,2263
14,1543882,191,180.00,2,191,2265
14,1594310,191,210.00,2,191,2264
14,1644711,191,180.00,2,191,2266
14,1695114,191,180.00,2,191,2264
14,1745537,191,210.00,2,191,2264
14,1796260,191,150.00,1,255,2261
14,1846675,191,90.00,1,255,2261
14,1897088,191,30.00,1,255,2265
14,1947499,191,60.00,1,255,2264
14,1997924,191,0.00,1,255,2265
14,2048702,191,60.00,3,180,2262
14,2099108,191,90.00,3,180,2266
14,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
15,1039263,191,0.00,0,0,2342
15,1089773,191,60.00,2,191,2267
15,1140199,191,60.00,2,191,2265
15,1190606,191,120.00,2,191,2263
15,1241011,191,150.00,2,191,2263
15,1291416,191,150.00,2,191,2263
15,1341823,191,180.00,2,191,2270
15,1392223,191,180.00,2,191,2265
15,1442646,191,180.00,2,191,2264
15,1493066,191,210.00,2,191,2266
15,1543801,191,210.00,2,191,2267
15,1594208,191,180.00,2,191,2262
15,1644647,191,210.00,2,191,2265
15,1695052,191,210.00,2,191,2262
15,1745792,191,180.00,1,255,2264
15,1796208,191,150.00,1,255,2260
15,1846629,191,60.00,1,255,2264
15,1897040,191,60.00,1,255,2263
15,1947463,191,30.00,1,255,2265
15,1997867,191,0.00,1,255,2264
15,2048609,191,60.00,3,180,2265
15,2099011,191,90.00,3,180,2264
