trial,event,t_us,target_pwm,rpm_left,duration_us
1,TRIAL_START,1031314,127,0.00,0
1,RPM_STABLE,1532206,127,120.00,0
1,LINE_DETECTED,2174368,127,90.00,15
1,RPM_ZERO,2401317,127,0.00,226949
1,RECOVERY_COMPLETE,2610420,127,150.00,436052
2,TRIAL_START,1031314,127,0.00,0
2,RPM_STABLE,1532083,127,120.00,0
2,LINE_DETECTED,2139803,127,120.00,15
2,RPM_ZERO,2350803,127,0.00,211000
2,RECOVERY_COMPLETE,2584927,127,150.00,445124
3,TRIAL_START,1031310,127,0.00,0
3,RPM_STABLE,1532058,127,120.00,0
3,LINE_DETECTED,2180962,127,90.00,15
3,RPM_ZERO,2350716,127,0.00,169754
3,RECOVERY_COMPLETE,2557529,127,120.00,376567
4,TRIAL_START,1031327,127,0.00,0
4,RPM_STABLE,1532087,127,120.00,0
4,LINE_DETECTED,2233658,127,120.00,14
4,RPM_ZERO,2401105,127,0.00,167447
4,RECOVERY_COMPLETE,2577978,127,150.00,344320
5,TRIAL_START,1031308,127,0.00,0
5,RPM_STABLE,1532231,127,120.00,0
5,LINE_DETECTED,2144420,127,120.00,15
5,RPM_ZERO,2300469,127,0.00,156049
5,RECOVERY_COMPLETE,2518738,127,120.00,374318
6,TRIAL_START,1031334,127,0.00,0
6,RPM_STABLE,1532099,127,90.00,0
6,LINE_DETECTED,2151349,127,120.00,15
6,RPM_ZERO,2350670,127,0.00,199321
6,RECOVERY_COMPLETE,2555166,127,120.00,403817
7,TRIAL_START,1031322,127,0.00,0
7,RPM_STABLE,1532143,127,120.00,0
7,LINE_DETECTED,2153726,127,120.00,14
7,RPM_ZERO,2300316,127,0.00,146590
7,RECOVERY_COMPLETE,2504811,127,120.00,351085
8,TRIAL_START,1031331,127,0.00,0
8,RPM_STABLE,1532228,127,120.00,0
8,LINE_DETECTED,2185615,127,90.00,15
8,RPM_ZERO,2350730,127,0.00,165115
8,RECOVERY_COMPLETE,2568876,127,120.00,383261
9,TRIAL_START,1031318,127,0.00,0
9,RPM_STABLE,1532067,127,90.00,0
9,LINE_DETECTED,2204055,127,120.00,15
9,RPM_ZERO,2350632,127,0.00,146577
9,RECOVERY_COMPLETE,2529827,127,120.00,325772
10,TRIAL_START,1031330,127,0.00,0
10,RPM_STABLE,1532079,127,120.00,0
10,LINE_DETECTED,2208644,127,90.00,15
10,RPM_ZERO,2401104,127,0.00,192460
10,RECOVERY_COMPLETE,2607957,127,120.00,399313
11,TRIAL_START,1031330,127,0.00,0
11,RPM_STABLE,1532119,127,120.00,0
11,LINE_DETECTED,2238221,127,120.00,15
11,RPM_ZERO,2401138,127,0.00,162917
11,RECOVERY_COMPLETE,2566677,127,150.00,328456
12,TRIAL_START,1031331,127,0.00,0
12,RPM_STABLE,1532205,127,120.00,0
12,LINE_DETECTED,2162984,127,120.00,15
12,RPM_ZERO,2350922,127,0.00,187938
12,RECOVERY_COMPLETE,2557805,127,120.00,394821
13,TRIAL_START,1031327,127,0.00,0
13,RPM_STABLE,1532151,127,120.00,0
13,LINE_DETECTED,2233806,127,90.00,15
13,RPM_ZERO,2451677,127,0.00,217871
13,RECOVERY_COMPLETE,2678974,127,150.00,445168
14,TRIAL_START,1031327,127,0.00,0
14,RPM_STABLE,1532194,127,120.00,0
14,LINE_DETECTED,2204224,127,120.00,15
14,RPM_ZERO,2350848,127,0.00,146624
14,RECOVERY_COMPLETE,2514098,127,120.00,309874
15,TRIAL_START,1031320,127,0.00,0
15,RPM_STABLE,1532083,127,90.00,0
15,LINE_DETECTED,2190100,127,90.00,14
15,RPM_ZERO,2350751,127,0.00,160651
15,RECOVERY_COMPLETE,2541378,127,120.00,351278
