trial,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
1,1039239,127,0.00,0,0,2333
1,1089749,127,0.00,2,127,2266
1,1140169,127,60.00,2,127,2264
1,1190597,127,30.00,2,127,2264
1,1241024,127,90.00,2,127,2263
1,1291449,127,90.00,2,127,2265
1,1341864,127,90.00,2,127,2266
1,1392299,127,90.00,2,127,2265
1,1442744,127,120.00,2,127,2267
1,1493163,127,120.00,2,127,2264
1,1543886,127,90.00,2,127,2264
1,1594313,127,120.00,2,127,2269
1,1644749,127,120.00,2,127,2267
1,1695163,127,120.00,2,127,2265
1,1745610,127,120.00,2,127,2267
1,1796025,127,120.00,2,127,2264
1,1846463,127,120.00,2,127,2264
1,1896884,127,120.00,2,127,2264
1,1947312,127,120.00,2,127,2273
1,1997749,127,90.00,2,127,2266
1,2048179,127,120.00,2,127,2265
1,2098586,127,120.00,2,127,2262
1,2148997,127,90.00,2,127,2264
1,2199698,127,120.00,1,255,2266
1,2250112,127,60.00,1,255,2260
1,2300516,127,30.00,1,255,2264
1,2350912,127,30.00,1,255,2265
1,2401317,127,0.00,1,255,2259
1,2452040,127,60.00,3,180,2267
1,2502440,127,90.00,3,180,2267
1,2552862,127,120.00,3,180,2264
1,2603262,127,150.00,3,180,2263
1,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
2,1039243,127,0.00,0,0,2338
2,1089727,127,60.00,2,127,2265
2,1140149,127,30.00,2,127,2267
2,1190565,127,60.00,2,127,2265
2,1240965,127,90.00,2,127,2262
2,1291378,127,60.00,2,127,2263
2,1341790,127,120.00,2,127,2266
2,1392200,127,90.00,2,127,2271
2,1442628,127,120.00,2,127,2265
2,1493032,127,120.00,2,127,2265
2,1543762,127,120.00,2,127,2262
2,1594180,127,120.00,2,127,2265
2,1644624,127,120.00,2,127,2261
2,1695035,127,120.00,2,127,2261
2,1745474,127,120.00,2,127,2265
2,1795906,127,120.00,2,127,2266
2,1846349,127,120.00,2,127,2272
2,1896787,127,90.00,2,127,2266
2,1947208,127,120.00,2,127,2264
2,1997637,127,120.00,2,127,2262
2,2048061,127,120.00,2,127,2265
2,2098473,127,120.00,2,127,2266
2,2149206,127,120.00,1,255,2262
2,2199630,127,90.00,1,255,2266
2,2250017,127,30.00,1,255,2265
2,2300416,127,30.00,1,255,2263
2,2350803,127,0.00,1,255,2273
2,2401515,127,30.00,3,180,2264
2,2451918,127,120.00,3,180,2265
2,2502341,127,150.00,3,180,2265
2,2552740,127,150.00,3,180,2264
2,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
3,1039239,127,0.00,0,0,2337
3,1089746,127,30.00,2,127,2267
3,1140160,127,60.00,2,127,2263
3,1190576,127,60.00,2,127,2265
3,1240979,127,60.00,2,127,2264
3,1291402,127,90.00,2,127,2270
3,1341804,127,90.00,2,127,2263
3,1392203,127,120.00,2,127,2263
3,1442626,127,120.00,2,127,2264
3,1493035,127,120.00,2,127,2262
3,1543752,127,120.00,2,127,2266
3,1594164,127,90.00,2,127,2263
3,1644570,127,120.00,2,127,2265
3,1694991,127,120.00,2,127,2266
3,1745412,127,90.00,2,127,2263
3,1795831,127,120.00,2,127,2265
3,1846252,127,120.00,2,127,2273
3,1896661,127,120.00,2,127,2266
3,1947076,127,120.00,2,127,2265
3,1997496,127,120.00,2,127,2272
3,2047906,127,90.00,2,127,2265
3,2098337,127,120.00,2,127,2265
3,2148755,127,90.00,2,127,2263
3,2199470,127,120.00,1,255,2261
3,2249889,127,60.00,1,255,2263
3,2300307,127,30.00,1,255,2272
3,2350716,127,0.00,1,255,2264
3,2401446,127,30.00,3,180,2264
3,2451860,127,120.00,3,180,2265
3,2502251,127,90.00,3,180,2261
3,2552654,127,120.00,3,180,2265
3,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
4,1039252,127,0.00,0,0,2334
4,1089735,127,0.00,2,127,2262
4,1140143,127,60.00,2,127,2261
4,1190555,127,60.00,2,127,2263
4,1240958,127,90.00,2,127,2266
4,1291383,127,90.00,2,127,2268
4,1341815,127,60.00,2,127,2275
4,1392228,127,120.00,2,127,2264
4,1442651,127,90.00,2,127,2265
4,1493046,127,120.00,2,127,2260
4,1543766,127,90.00,2,127,2263
4,1594185,127,120.00,2,127,2261
4,1644596,127,90.00,2,127,2262
4,1695002,127,90.00,2,127,2262
4,1745434,127,120.00,2,127,2264
4,1795853,127,120.00,2,127,2265
4,1846255,127,120.00,2,127,2266
4,1896674,127,90.00,2,127,2263
4,1947100,127,90.00,2,127,2265
4,1997528,127,120.00,2,127,2261
4,2047944,127,120.00,2,127,2265
4,2098363,127,90.00,2,127,2266
4,2148766,127,90.00,2,127,2262
4,2199176,127,120.00,2,127,2264
4,2249891,127,90.00,1,255,2262
4,2300324,127,60.00,1,255,2271
4,2350725,127,30.00,1,255,2262
4,2401105,127,0.00,1,255,2266
4,2451847,127,60.00,3,180,2264
4,2502250,127,90.00,3,180,2265
4,2552626,127,150.00,3,180,2262
4,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
5,1039237,127,0.00,0,0,2338
5,1089749,127,30.00,2,127,2264
5,1140165,127,30.00,2,127,2262
5,1190602,127,60.00,2,127,2266
5,1241026,127,90.00,2,127,2265
5,1291473,127,60.00,2,127,2267
5,1341897,127,120.00,2,127,2263
5,1392344,127,90.00,2,127,2267
5,1442784,127,120.00,2,127,2266
5,1493194,127,120.00,2,127,2274
5,1543909,127,120.00,2,127,2264
5,1594344,127,150.00,2,127,2270
5,1644760,127,120.00,2,127,2267
5,1695176,127,120.00,2,127,2263
5,1745620,127,90.00,2,127,2263
5,1796026,127,120.00,2,127,2265
5,1846467,127,120.00,2,127,2267
5,1896891,127,90.00,2,127,2264
5,1947305,127,150.00,2,127,2268
5,1997744,127,120.00,2,127,2266
5,2048134,127,120.00,2,127,2262
5,2098567,127,120.00,2,127,2264
5,2149269,127,120.00,1,255,2263
5,2199678,127,90.00,1,255,2261
5,2250061,127,60.00,1,255,2264
